epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,830.432,0.43092,0.76745,0.99535,0.70627,0.60565,0.69281,0.60502,0.50922,1.17371,0.82042,0.0700456,0.00332827,0.00332827
2,1698.53,0.43583,0.76952,0.99776,0.59809,0.5093,0.57355,0.48956,0.61036,1.42198,0.91015,0.0393861,0.0060021,0.0060021
3,2386.21,0.43681,0.76315,1.0011,0.79978,0.75384,0.83792,0.74475,0.46455,0.66093,0.80481,0.0080666,0.00801594,0.00801594
4,3063.1,0.43254,0.74537,0.99558,0.79708,0.76782,0.84394,0.76221,0.44647,0.66443,0.7804,0.00703,0.00703,0.00703
5,3869.2,0.41476,0.69517,0.98774,0.74044,0.73089,0.7958,0.71329,0.45642,0.81068,0.78717,0.00604,0.00604,0.00604
6,4790.02,0.39656,0.65627,0.97242,0.86059,0.74016,0.86215,0.79106,0.39566,0.61301,0.74053,0.00505,0.00505,0.00505
7,5451.85,0.37895,0.60559,0.96791,0.78286,0.72814,0.80833,0.73501,0.4287,0.7978,0.76691,0.00406,0.00406,0.00406
8,6099.94,0.35593,0.56845,0.9564,0.79417,0.74461,0.83248,0.7634,0.40979,0.7579,0.76538,0.00307,0.00307,0.00307
9,6739.68,0.3407,0.53917,0.94792,0.89536,0.82236,0.90724,0.84823,0.35718,0.4829,0.72475,0.00208,0.00208,0.00208
10,7360.63,0.3243,0.49258,0.93972,0.90523,0.83193,0.91514,0.85813,0.33878,0.45784,0.71722,0.00109,0.00109,0.00109
