epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1135.24,0.08502,6.33847,0.92698,0.02273,0.46711,0.05354,0.02802,0.17812,12.7077,2.32063,0.0700464,0.00332818,0.00332818
2,2251.88,0.08372,5.74816,0.92168,0.35152,0.45288,0.35558,0.20578,0.09166,6.53746,0.93704,0.0397166,0.00633177,0.00633177
3,2909.45,0.07729,5.28317,0.88245,0.21504,0.30621,0.16746,0.0879,0.12083,9.63231,1.31918,0.00905688,0.00900536,0.00900536
4,3424.69,0.07395,4.96809,0.86413,0.49336,0.51646,0.48902,0.3297,0.07526,5.25249,0.80794,0.0087087,0.0087087,0.0087087
5,3906.01,0.06943,4.69348,0.83889,0.55845,0.55084,0.58862,0.42891,0.06406,4.26077,0.70767,0.00847692,0.00847692,0.00847692
6,4376.27,0.06671,4.44599,0.82281,0.58159,0.55848,0.58657,0.4348,0.06117,4.42298,0.69501,0.00823214,0.00823214,0.00823214
7,4885.29,0.06493,4.30438,0.81259,0.48657,0.51339,0.47024,0.3549,0.05824,5.4934,0.67311,0.00802,0.00802,0.00802
8,5390.91,0.06313,4.19171,0.80088,0.70497,0.61892,0.69172,0.53573,0.05568,3.29431,0.65277,0.00776452,0.00776452,0.00776452
9,5892.54,0.06173,4.02321,0.79224,0.71383,0.63316,0.7115,0.55218,0.05434,3.09164,0.64247,0.0076,0.0076,0.0076
10,6431.35,0.06058,3.91583,0.78941,0.66673,0.66499,0.71662,0.55928,0.05414,3.13289,0.63731,0.0073,0.0073,0.0073
11,6984.43,0.05943,3.82568,0.78121,0.70211,0.67494,0.75143,0.59218,0.04973,2.86247,0.61558,0.00708824,0.00708824,0.00708824
12,7509.9,0.05911,3.73453,0.77637,0.75338,0.6626,0.75906,0.60122,0.05167,2.7409,0.62208,0.00688857,0.00688857,0.00688857
13,8091.02,0.05728,3.66169,0.77005,0.65289,0.6091,0.63914,0.50134,0.05227,3.82841,0.63116,0.00660571,0.00660571,0.00660571
14,8628.24,0.05588,3.57553,0.7633,0.74243,0.69145,0.76967,0.61012,0.05075,2.82853,0.6109,0.00632286,0.00632286,0.00632286
15,9156.63,0.05551,3.46345,0.75907,0.7652,0.70828,0.79779,0.65519,0.04526,2.541,0.58265,0.00615,0.00615,0.00615
16,9616.85,0.05485,3.45938,0.75974,0.7683,0.73541,0.81032,0.65621,0.04673,2.38177,0.58883,0.005875,0.005875,0.005875
17,10122.4,0.05433,3.35903,0.75591,0.78999,0.73673,0.81871,0.6823,0.04508,2.31062,0.58077,0.0056,0.0056,0.0056
18,10725,0.05366,3.32347,0.75245,0.77322,0.71016,0.79967,0.65998,0.04552,2.58183,0.57852,0.00545135,0.00545135,0.00545135
19,11465.2,0.05316,3.23267,0.74815,0.74626,0.69925,0.76739,0.63956,0.04379,2.73231,0.5719,0.00518378,0.00518378,0.00518378
20,12446.4,0.05257,3.22714,0.74637,0.80617,0.7663,0.84199,0.71272,0.04138,2.04894,0.55087,0.004775,0.004775,0.004775
21,13370.3,0.05123,3.11484,0.73844,0.79838,0.75013,0.83626,0.69963,0.0421,2.18854,0.56572,0.00434286,0.00434286,0.00434286
22,13857,0.05045,3.02496,0.73496,0.83349,0.76718,0.86092,0.73156,0.04093,1.96762,0.54936,0.00388529,0.00388529,0.00388529
23,14316.9,0.05012,3.00087,0.73386,0.82645,0.77243,0.86191,0.73301,0.04016,1.96095,0.5462,0.00377714,0.00377714,0.00377714
24,14778.3,0.04963,2.96521,0.73342,0.85528,0.78683,0.87748,0.74807,0.0411,1.87146,0.55666,0.00349429,0.00349429,0.00349429
25,15240.3,0.04991,2.94484,0.73162,0.84865,0.78719,0.87696,0.73991,0.04076,1.82289,0.54368,0.0034,0.0034,0.0034
26,15705.2,0.04871,2.85517,0.72979,0.85093,0.80001,0.88199,0.76133,0.03815,1.7963,0.53941,0.003125,0.003125,0.003125
27,16170.4,0.04852,2.86353,0.72945,0.8625,0.80547,0.88838,0.76518,0.03872,1.76887,0.54004,0.00285,0.00285,0.00285
28,16739.2,0.04793,2.79588,0.72455,0.8586,0.79714,0.88807,0.76664,0.03835,1.75695,0.53436,0.00277568,0.00277568,0.00277568
29,17916.8,0.04773,2.78859,0.72232,0.85647,0.79578,0.89161,0.76776,0.03863,1.71036,0.53616,0.00250811,0.00250811,0.00250811
30,18776.2,0.0466,2.74082,0.72176,0.87759,0.80435,0.89828,0.77947,0.03722,1.64255,0.52854,0.00179714,0.00179714,0.00179714
31,19420.7,0.03893,2.18776,0.68407,0.8782,0.8201,0.90296,0.79286,0.0356,1.63037,0.52355,0.00151429,0.00151429,0.00151429
32,20028.8,0.0372,2.07855,0.67817,0.88787,0.82533,0.90902,0.79945,0.03543,1.58819,0.52486,0.00123143,0.00123143,0.00123143
33,20713.8,0.03615,1.99699,0.6724,0.88483,0.83294,0.91473,0.8108,0.03501,1.5526,0.5239,0.000948571,0.000948571,0.000948571
34,21347.4,0.03539,1.92064,0.67012,0.89557,0.83089,0.9166,0.81446,0.03462,1.49451,0.51959,0.000665714,0.000665714,0.000665714
35,21664.3,0.03555,1.86906,0.66856,0.90003,0.83961,0.91878,0.81811,0.03469,1.50021,0.52045,0.000382857,0.000382857,0.000382857
