epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.622,0.0525,3.08898,0.7424,0.72496,0.67588,0.7733,0.6376,0.04543,3.10672,0.58498,0.0700464,0.00332818,0.00332818
2,846.613,0.05341,3.14289,0.74658,0.7828,0.73931,0.82034,0.67427,0.04533,2.41194,0.576,0.0399145,0.00652962,0.00652962
3,1249.39,0.05482,3.21969,0.7496,0.49026,0.47682,0.43473,0.32079,0.07834,8.20568,0.86218,0.00965057,0.00959905,0.00959905
4,1665.54,0.05568,3.26883,0.75458,0.78179,0.70614,0.79575,0.65107,0.04771,2.50564,0.59408,0.009406,0.009406,0.009406
5,2065.88,0.05498,3.26818,0.75288,0.73007,0.71118,0.79197,0.65065,0.04763,2.74083,0.59749,0.009208,0.009208,0.009208
6,2474.49,0.05473,3.23333,0.75063,0.79742,0.70006,0.80762,0.66019,0.04715,2.44173,0.58863,0.00901,0.00901,0.00901
7,2877.75,0.05339,3.14281,0.74621,0.69618,0.60259,0.68261,0.54966,0.0542,3.86749,0.64519,0.008812,0.008812,0.008812
8,3281.98,0.05313,3.10938,0.74164,0.83062,0.7127,0.82391,0.67895,0.04649,2.3211,0.58416,0.008614,0.008614,0.008614
9,3686.71,0.05274,3.07189,0.74282,0.82196,0.74757,0.83989,0.70004,0.04529,2.17407,0.58152,0.008416,0.008416,0.008416
10,4089.57,0.05223,3.00892,0.74069,0.82761,0.74074,0.84699,0.70218,0.04404,2.11573,0.57202,0.008218,0.008218,0.008218
11,4493.03,0.05182,2.99905,0.7381,0.81762,0.76479,0.86161,0.72938,0.04145,2.09389,0.5627,0.00802,0.00802,0.00802
12,4891.89,0.05199,2.96732,0.73797,0.84343,0.74512,0.85537,0.71913,0.04401,2.08458,0.57539,0.007822,0.007822,0.007822
13,5296.85,0.05107,2.9197,0.73468,0.85206,0.75165,0.85871,0.72169,0.04259,2.07973,0.56577,0.007624,0.007624,0.007624
14,5698.15,0.05014,2.89962,0.73226,0.85907,0.78698,0.87927,0.74902,0.03982,1.86186,0.54924,0.007426,0.007426,0.007426
15,6097.25,0.05007,2.82308,0.72822,0.86092,0.78215,0.88483,0.74461,0.04208,1.87936,0.56576,0.007228,0.007228,0.007228
16,6492,0.05022,2.85906,0.73286,0.84077,0.79792,0.88213,0.75166,0.04013,1.85805,0.5467,0.00703,0.00703,0.00703
17,6908.38,0.04997,2.78909,0.73023,0.84691,0.8027,0.88089,0.75764,0.03931,1.79451,0.54248,0.006832,0.006832,0.006832
18,7305.74,0.04965,2.77527,0.72909,0.85174,0.79607,0.87975,0.75795,0.03859,1.7985,0.53604,0.006634,0.006634,0.006634
19,7707.29,0.04907,2.70942,0.72424,0.87191,0.80217,0.89045,0.76041,0.03938,1.69359,0.53518,0.006436,0.006436,0.006436
20,8108.34,0.04884,2.73438,0.72673,0.86451,0.81238,0.89167,0.77437,0.03741,1.74007,0.5308,0.006238,0.006238,0.006238
21,8504.86,0.04815,2.6596,0.72021,0.87339,0.80958,0.89854,0.78061,0.03766,1.67508,0.53585,0.00604,0.00604,0.00604
22,8903.56,0.04786,2.62574,0.72001,0.87882,0.81952,0.90395,0.78209,0.03768,1.61098,0.53123,0.005842,0.005842,0.005842
23,9305.38,0.04756,2.60923,0.71961,0.88057,0.81769,0.90392,0.77871,0.03772,1.61757,0.53169,0.005644,0.005644,0.005644
24,9707.38,0.04716,2.58215,0.71873,0.88993,0.82467,0.90925,0.78478,0.03875,1.61522,0.54236,0.005446,0.005446,0.005446
25,10111.7,0.04741,2.5698,0.71729,0.88055,0.81691,0.90098,0.78093,0.03746,1.6178,0.53003,0.005248,0.005248,0.005248
26,10515.8,0.04697,2.5254,0.71731,0.88551,0.83183,0.91072,0.79542,0.03666,1.57514,0.53185,0.00505,0.00505,0.00505
27,10910.9,0.04678,2.54539,0.71808,0.89691,0.83214,0.91091,0.79795,0.03553,1.51942,0.52244,0.004852,0.004852,0.004852
28,11311.3,0.04653,2.5048,0.7157,0.90155,0.82807,0.9175,0.80565,0.03482,1.4844,0.5181,0.004654,0.004654,0.004654
29,11715.6,0.0465,2.48229,0.71273,0.89667,0.83332,0.91712,0.79127,0.03725,1.53647,0.52992,0.004456,0.004456,0.004456
30,12127.6,0.04572,2.47023,0.71286,0.89142,0.84452,0.9202,0.80879,0.03552,1.46305,0.52444,0.004258,0.004258,0.004258
31,12543.3,0.04614,2.457,0.71527,0.9065,0.84418,0.92235,0.81617,0.03452,1.40621,0.51826,0.00406,0.00406,0.00406
32,12972.6,0.04527,2.41732,0.71084,0.90658,0.84234,0.9219,0.81671,0.03453,1.43249,0.51676,0.003862,0.003862,0.003862
33,13415.1,0.04505,2.39063,0.70863,0.90464,0.85271,0.92481,0.81253,0.03491,1.41096,0.51816,0.003664,0.003664,0.003664
34,13866.4,0.04502,2.4084,0.70849,0.91281,0.8472,0.92387,0.81745,0.03452,1.40741,0.51504,0.003466,0.003466,0.003466
35,14318.6,0.04443,2.37554,0.70801,0.91631,0.8551,0.92748,0.81772,0.03431,1.38537,0.51498,0.003268,0.003268,0.003268
36,14792.5,0.04454,2.36468,0.70833,0.92057,0.84525,0.92762,0.81821,0.03426,1.37851,0.51587,0.00307,0.00307,0.00307
37,15271.3,0.04449,2.32522,0.70748,0.91545,0.85346,0.92854,0.82779,0.03365,1.35648,0.51571,0.002872,0.002872,0.002872
38,15756,0.04355,2.30232,0.70316,0.91419,0.85719,0.93168,0.83195,0.03297,1.3259,0.50918,0.002674,0.002674,0.002674
39,16253.4,0.04339,2.26253,0.70244,0.91881,0.85495,0.93103,0.82898,0.03313,1.32538,0.51062,0.002476,0.002476,0.002476
40,16768.5,0.04314,2.23589,0.70205,0.9194,0.8587,0.9323,0.83061,0.03298,1.30758,0.50564,0.002278,0.002278,0.002278
41,17290.2,0.04343,2.23423,0.70167,0.92502,0.85931,0.93385,0.83607,0.03246,1.28635,0.50466,0.00208,0.00208,0.00208
