epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,837.2,0.42663,0.69038,0.98497,0.61955,0.54721,0.59613,0.51045,0.4021,26.8368,0.65574,0.0700456,0.00332827,0.00332827
2,1772.49,0.42911,0.68551,0.98773,0.83382,0.74927,0.83754,0.74753,0.31231,11.2347,0.58004,0.0393861,0.0060021,0.0060021
3,2743.87,0.44412,0.68606,0.99605,0.8762,0.76581,0.85769,0.76451,0.31457,5.50271,0.58159,0.0080666,0.00801594,0.00801594
4,3727.23,0.42362,0.66617,0.98017,0.63875,0.54213,0.62437,0.54151,0.38498,8.33389,0.64008,0.00703,0.00703,0.00703
5,4811.26,0.40907,0.6275,0.97583,0.75218,0.52589,0.61422,0.53493,0.36803,11.8948,0.63181,0.00604,0.00604,0.00604
6,6089.76,0.38869,0.57983,0.96571,0.8323,0.83258,0.88945,0.80661,0.27247,3.27076,0.56136,0.00505,0.00505,0.00505
7,7414.43,0.37152,0.53185,0.95763,0.90059,0.83953,0.9091,0.82905,0.25889,3.94143,0.55339,0.00406,0.00406,0.00406
8,8616.52,0.35117,0.4889,0.94446,0.90309,0.83269,0.91137,0.84313,0.24023,3.29834,0.54193,0.00307,0.00307,0.00307
9,9960.98,0.33826,0.45796,0.94309,0.92388,0.83591,0.91419,0.84635,0.23471,2.55489,0.5377,0.00208,0.00208,0.00208
10,11272.3,0.31657,0.4247,0.93554,0.90813,0.85631,0.91973,0.86224,0.21875,2.22675,0.53011,0.00109,0.00109,0.00109
