epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,813.976,0.80933,1.60574,1.1899,0.39678,0.43193,0.37297,0.23748,1.35622,2.18152,1.78488,0.0700317,0.00332981,0.00332981
2,1550.58,0.88371,1.58665,1.22803,0.45931,0.4489,0.44531,0.32671,0.86293,1.74524,1.16484,0.0397019,0.00633331,0.00633331
3,2372.97,0.81967,1.49023,1.1903,0.54725,0.56813,0.57215,0.4516,0.74429,1.49892,1.06589,0.0090421,0.00900682,0.00900682
4,3234.7,0.76887,1.38694,1.16404,0.66091,0.5873,0.65101,0.52798,0.68127,1.19246,1.01334,0.008515,0.008515,0.008515
5,4093.25,0.72205,1.30195,1.14161,0.61311,0.6424,0.67987,0.56078,0.64524,1.1497,0.99065,0.00802,0.00802,0.00802
6,5471.74,0.68392,1.21745,1.12242,0.6964,0.66287,0.7366,0.61102,0.62165,1.01957,0.96808,0.007525,0.007525,0.007525
7,7394.97,0.66182,1.17099,1.11099,0.72509,0.68503,0.765,0.65183,0.58479,0.91189,0.93116,0.00703,0.00703,0.00703
8,9229.37,0.63504,1.10883,1.09474,0.7376,0.65554,0.75893,0.64473,0.55745,1.01943,0.92102,0.006535,0.006535,0.006535
9,11007.8,0.61537,1.06343,1.08671,0.75047,0.69177,0.77748,0.67031,0.54272,0.88938,0.90675,0.00604,0.00604,0.00604
10,12511.2,0.60118,1.02922,1.08055,0.79431,0.71424,0.80524,0.71034,0.49851,0.79711,0.87569,0.005545,0.005545,0.005545
11,14237.7,0.47612,0.90222,1.03931,0.80093,0.72679,0.81822,0.72341,0.5079,0.7553,0.88783,0.00505,0.00505,0.00505
12,15970.2,0.45293,0.84257,1.02762,0.79821,0.72323,0.81879,0.72463,0.49822,0.77495,0.87088,0.004555,0.004555,0.004555
13,17758.4,0.43036,0.78018,1.01229,0.82463,0.74587,0.84195,0.75516,0.45765,0.68797,0.84621,0.00406,0.00406,0.00406
14,19289.5,0.41564,0.73317,1.00467,0.8441,0.792,0.87236,0.79525,0.4307,0.59176,0.82151,0.003565,0.003565,0.003565
15,20876.9,0.39626,0.69321,0.99384,0.86946,0.78605,0.87758,0.80223,0.41876,0.57773,0.80856,0.00307,0.00307,0.00307
16,22164.7,0.38027,0.64342,0.98031,0.86691,0.80109,0.88449,0.81142,0.40736,0.55693,0.79882,0.002575,0.002575,0.002575
17,23376.2,0.36664,0.5951,0.97453,0.88937,0.80194,0.8972,0.82816,0.39469,0.51293,0.79352,0.00208,0.00208,0.00208
18,24575.6,0.35332,0.56698,0.96925,0.90288,0.81114,0.90364,0.83771,0.38557,0.48314,0.785,0.001585,0.001585,0.001585
19,25709.7,0.34341,0.5364,0.96373,0.90042,0.83562,0.91257,0.85445,0.36489,0.45105,0.77212,0.00109,0.00109,0.00109
20,26794.2,0.33062,0.50149,0.9556,0.91521,0.83565,0.91906,0.86064,0.36281,0.43276,0.76857,0.000595,0.000595,0.000595
