epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.651,1.01321,1.99262,1.29547,0.22867,0.19975,0.09249,0.04948,1.5858,4.53645,1.85369,0.0700456,0.00332827,0.00332827
2,1133.21,0.97414,1.7741,1.27483,0.53578,0.37242,0.36846,0.25624,1.06184,1.93987,1.32017,0.0398258,0.00644177,0.00644177
3,1669.73,0.88056,1.60369,1.22028,0.3814,0.51007,0.37866,0.2728,0.97439,1.89046,1.26285,0.00938593,0.00933527,0.00933527
4,2199.39,0.82502,1.50214,1.19005,0.53031,0.45133,0.46619,0.34453,0.88108,1.72214,1.14664,0.00901,0.00901,0.00901
5,2724.58,0.76624,1.39041,1.15859,0.52783,0.55114,0.53996,0.4004,0.84427,1.41213,1.10263,0.00868,0.00868,0.00868
6,3266.34,0.73009,1.33187,1.14186,0.61882,0.5968,0.632,0.511,0.7042,1.2411,0.989,0.00835,0.00835,0.00835
7,3801.45,0.70193,1.26732,1.12528,0.58346,0.59295,0.62088,0.50555,0.64865,1.27956,0.95344,0.00802,0.00802,0.00802
8,4325.8,0.67777,1.2118,1.11396,0.67663,0.65155,0.71779,0.59666,0.60502,0.97187,0.90804,0.00769,0.00769,0.00769
9,4910.74,0.66537,1.19237,1.10826,0.72306,0.66425,0.74753,0.62915,0.5797,0.90393,0.89867,0.00736,0.00736,0.00736
10,5551.47,0.63871,1.14249,1.09479,0.71167,0.68239,0.75418,0.6371,0.56642,0.90706,0.88705,0.00703,0.00703,0.00703
11,6219.85,0.63527,1.12044,1.09168,0.75616,0.71606,0.79268,0.67354,0.57542,0.84046,0.88111,0.0067,0.0067,0.0067
12,6828.05,0.62349,1.08575,1.08692,0.70831,0.67247,0.74853,0.64777,0.53355,0.92907,0.86257,0.00637,0.00637,0.00637
13,7402.98,0.61127,1.06347,1.07897,0.77628,0.69762,0.79139,0.67873,0.53704,0.82843,0.86313,0.00604,0.00604,0.00604
14,7980.59,0.59457,1.03331,1.07311,0.77266,0.72583,0.81535,0.70806,0.50326,0.768,0.85121,0.00571,0.00571,0.00571
15,8576.31,0.58888,1.00461,1.07048,0.80999,0.73068,0.82806,0.73292,0.47414,0.73133,0.81224,0.00538,0.00538,0.00538
16,9162.34,0.57657,0.99194,1.06728,0.76032,0.7419,0.81159,0.71494,0.49067,0.76346,0.82603,0.00505,0.00505,0.00505
17,9739.92,0.5723,0.97647,1.06256,0.79903,0.74998,0.83956,0.75,0.4594,0.70377,0.802,0.00472,0.00472,0.00472
18,10323.9,0.5554,0.94535,1.05699,0.7709,0.71081,0.79433,0.70816,0.46597,0.80816,0.80807,0.00439,0.00439,0.00439
19,10907.7,0.54967,0.93034,1.05451,0.83257,0.77776,0.85677,0.7668,0.45385,0.63112,0.79354,0.00406,0.00406,0.00406
20,11491.6,0.53859,0.91141,1.0477,0.81974,0.77663,0.8583,0.7742,0.43462,0.64847,0.78488,0.00373,0.00373,0.00373
21,12064.6,0.43738,0.76671,0.99829,0.84314,0.77177,0.86404,0.77992,0.44094,0.60677,0.7839,0.0034,0.0034,0.0034
22,12585.7,0.41279,0.73361,0.9899,0.79079,0.76691,0.83871,0.75597,0.44447,0.67692,0.78793,0.00307,0.00307,0.00307
23,13116.3,0.39956,0.69445,0.98391,0.86044,0.79333,0.88706,0.81223,0.40416,0.54966,0.76386,0.00274,0.00274,0.00274
24,13637.3,0.3863,0.66359,0.97538,0.86561,0.81612,0.89512,0.82333,0.39671,0.5204,0.75652,0.00241,0.00241,0.00241
25,14158.1,0.37273,0.63103,0.96999,0.85419,0.81547,0.88947,0.81665,0.39841,0.53214,0.75223,0.00208,0.00208,0.00208
26,14793.2,0.35754,0.60305,0.95782,0.87751,0.82936,0.90398,0.8371,0.37942,0.48295,0.73833,0.00175,0.00175,0.00175
27,15497.7,0.3527,0.56903,0.95502,0.89536,0.84217,0.91231,0.85226,0.36305,0.4543,0.73158,0.00142,0.00142,0.00142
28,16135.5,0.33921,0.54543,0.95195,0.89494,0.8497,0.91611,0.85708,0.35431,0.44417,0.72314,0.00109,0.00109,0.00109
29,17118.5,0.3326,0.52087,0.94697,0.91317,0.84371,0.91873,0.85807,0.35169,0.42639,0.71924,0.00076,0.00076,0.00076
30,18434,0.3254,0.51225,0.94212,0.9165,0.83914,0.9198,0.86255,0.34867,0.42664,0.7195,0.00043,0.00043,0.00043
