epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6181,1.02248,2.12363,1.20753,0.52914,0.33211,0.30418,0.23088,0.95332,2.04097,1.09991,0.000369065,0.000369065,0.000369065
2,180.905,0.94918,1.31403,1.17146,0.7433,0.36753,0.40892,0.30544,0.87609,1.87741,1.13887,0.000702798,0.000702798,0.000702798
3,276.719,0.91413,1.242,1.14631,0.34883,0.399,0.37224,0.28448,0.83802,1.86616,1.12884,0.000999868,0.000999868,0.000999868
4,383.361,0.89516,1.20392,1.1404,0.41009,0.40815,0.42094,0.31674,0.83563,1.84079,1.12096,0.000946016,0.000946016,0.000946016
5,486.678,0.85807,1.15963,1.11697,0.34606,0.42457,0.40265,0.30418,0.89592,3.6155,1.1687,0.000891022,0.000891022,0.000891022
6,592.669,0.8343,1.12938,1.10672,0.73427,0.40051,0.44926,0.3438,0.78273,1.77123,1.10037,0.000836027,0.000836027,0.000836027
7,697.799,0.82314,1.09337,1.09759,0.7067,0.4464,0.46402,0.36797,0.74445,2.05852,1.07951,0.000781033,0.000781033,0.000781033
8,806.801,0.79781,1.076,1.08792,0.70294,0.44087,0.48008,0.37583,0.72425,1.76394,1.07643,0.000726038,0.000726038,0.000726038
9,925.257,0.78612,1.03948,1.07969,0.74362,0.4305,0.47375,0.36998,0.732,1.59489,1.06054,0.000671044,0.000671044,0.000671044
10,1064.77,0.76137,1.02061,1.0708,0.79811,0.40986,0.48292,0.3782,0.68443,1.43691,1.06042,0.000616049,0.000616049,0.000616049
11,1209.41,0.63196,0.93081,1.02797,0.69973,0.44189,0.48058,0.3875,0.69347,1.53994,1.06616,0.000561055,0.000561055,0.000561055
12,1341.86,0.59967,0.87535,1.00852,0.81339,0.43248,0.51654,0.41961,0.66589,1.25309,1.0492,0.00050606,0.00050606,0.00050606
13,1449.78,0.59103,0.84615,1.006,0.75936,0.47658,0.52224,0.42644,0.65067,1.18485,1.03944,0.000451066,0.000451066,0.000451066
14,1540.1,0.57032,0.80152,0.99837,0.75386,0.47099,0.51821,0.429,0.64697,1.26291,1.04075,0.000396071,0.000396071,0.000396071
15,1627.42,0.56288,0.78829,0.98765,0.71671,0.49833,0.52458,0.43741,0.64728,1.21343,1.03017,0.000341077,0.000341077,0.000341077
16,1715.6,0.54663,0.76396,0.98679,0.77152,0.48763,0.54364,0.45516,0.61004,1.11271,1.01477,0.000286083,0.000286083,0.000286083
17,1805.64,0.5295,0.74293,0.9805,0.78208,0.50945,0.55104,0.46227,0.59702,1.00543,1.01372,0.000231088,0.000231088,0.000231088
18,1892.29,0.52789,0.70568,0.97438,0.78948,0.50339,0.55595,0.46737,0.59543,1.03869,1.00784,0.000176094,0.000176094,0.000176094
19,1982.79,0.50439,0.68605,0.96418,0.7933,0.51103,0.55545,0.46655,0.59902,0.99745,1.01097,0.000121099,0.000121099,0.000121099
20,2074.52,0.49723,0.6691,0.96509,0.79735,0.52892,0.5701,0.48172,0.5851,0.97406,1.00851,6.61045e-05,6.61045e-05,6.61045e-05
