,precision,recall,f1-score,support
0,0.4594594594594595,0.38636363636363635,0.41975308641975306,44.0
1,0.7105263157894737,0.6136363636363636,0.6585365853658537,44.0
2,0.925,0.8409090909090909,0.8809523809523809,44.0
3,0.7166666666666667,0.9772727272727273,0.8269230769230769,44.0
4,0.7083333333333334,0.7727272727272727,0.7391304347826086,44.0
5,0.8636363636363636,0.8636363636363636,0.8636363636363636,44.0
6,0.7647058823529411,0.8863636363636364,0.8210526315789474,44.0
7,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
8,0.7727272727272727,0.7727272727272727,0.7727272727272727,44.0
9,0.7352941176470589,0.5681818181818182,0.6410256410256411,44.0
A_caps,0.9111111111111111,0.9318181818181818,0.9213483146067416,44.0
B_caps,0.8367346938775511,0.9318181818181818,0.8817204301075269,44.0
C_caps,0.7555555555555555,0.7727272727272727,0.7640449438202247,44.0
D_caps,0.9736842105263158,0.8409090909090909,0.9024390243902439,44.0
E_caps,1.0,0.9090909090909091,0.9523809523809523,44.0
F_caps,1.0,0.9772727272727273,0.9885057471264368,44.0
G_caps,0.918918918918919,0.7727272727272727,0.8395061728395061,44.0
H_caps,0.9302325581395349,0.9090909090909091,0.9195402298850575,44.0
I_caps,0.559322033898305,0.75,0.6407766990291263,44.0
J_caps,0.8571428571428571,0.9545454545454546,0.9032258064516129,44.0
K_caps,0.8372093023255814,0.8181818181818182,0.8275862068965517,44.0
L_caps,0.9361702127659575,1.0,0.967032967032967,44.0
M_caps,0.9555555555555556,0.9772727272727273,0.9662921348314607,44.0
N_caps,0.9302325581395349,0.9090909090909091,0.9195402298850575,44.0
O_caps,0.5789473684210527,0.75,0.6534653465346535,44.0
P_caps,0.813953488372093,0.7954545454545454,0.8045977011494253,44.0
Q_caps,0.9534883720930233,0.9318181818181818,0.9425287356321839,44.0
R_caps,1.0,0.9090909090909091,0.9523809523809523,44.0
S_caps,0.7169811320754716,0.8636363636363636,0.7835051546391752,44.0
T_caps,0.9767441860465116,0.9545454545454546,0.9655172413793104,44.0
U_caps,0.8936170212765957,0.9545454545454546,0.9230769230769231,44.0
V_caps,0.7959183673469388,0.8863636363636364,0.8387096774193549,44.0
W_caps,0.7941176470588235,0.6136363636363636,0.6923076923076923,44.0
X_caps,0.8857142857142857,0.7045454545454546,0.7848101265822784,44.0
Y_caps,0.7818181818181819,0.9772727272727273,0.8686868686868687,44.0
Z_caps,0.7755102040816326,0.8636363636363636,0.8172043010752689,44.0
a,0.8837209302325582,0.8636363636363636,0.8735632183908046,44.0
b,0.7777777777777778,0.9545454545454546,0.8571428571428571,44.0
c,0.625,0.6818181818181818,0.6521739130434783,44.0
d,0.8723404255319149,0.9318181818181818,0.9010989010989011,44.0
e,0.8222222222222222,0.8409090909090909,0.8314606741573034,44.0
f,0.8222222222222222,0.8409090909090909,0.8314606741573034,44.0
g,0.6938775510204082,0.7727272727272727,0.7311827956989247,44.0
h,0.9047619047619048,0.8636363636363636,0.8837209302325582,44.0
i,0.9523809523809523,0.9090909090909091,0.9302325581395349,44.0
j,0.9285714285714286,0.8863636363636364,0.9069767441860465,44.0
k,0.8333333333333334,0.7954545454545454,0.813953488372093,44.0
l,0.8888888888888888,0.5454545454545454,0.676056338028169,44.0
m,0.8666666666666667,0.8863636363636364,0.8764044943820225,44.0
n,0.7551020408163265,0.8409090909090909,0.7956989247311828,44.0
o,0.5652173913043478,0.5909090909090909,0.5777777777777777,44.0
p,0.7073170731707317,0.6590909090909091,0.6823529411764706,44.0
q,0.8809523809523809,0.8409090909090909,0.8604651162790697,44.0
r,0.8235294117647058,0.6363636363636364,0.717948717948718,44.0
s,0.6428571428571429,0.4090909090909091,0.5,44.0
t,0.8809523809523809,0.8409090909090909,0.8604651162790697,44.0
u,0.9210526315789473,0.7954545454545454,0.8536585365853658,44.0
v,0.825,0.75,0.7857142857142857,44.0
w,0.6296296296296297,0.7727272727272727,0.6938775510204082,44.0
x,0.6808510638297872,0.7272727272727273,0.7032967032967034,44.0
y,0.9473684210526315,0.8181818181818182,0.8780487804878049,44.0
z,0.5681818181818182,0.5681818181818182,0.5681818181818182,44.0
accuracy,0.8112170087976539,0.8112170087976539,0.8112170087976539,0.8112170087976539
macro avg,0.8170423081515039,0.811217008797654,0.8099870982562306,2728.0
weighted avg,0.8170423081515041,0.8112170087976539,0.8099870982562305,2728.0
